,2010_census,2019_est
.Alabama,"4,779,736","4,903,185"
.Alaska,"710,231","731,545"
.Arizona,"6,392,017","7,278,717"
.Arkansas,"2,915,918","3,017,804"
.California,"37,253,956","39,512,223"
.Colorado,"5,029,196","5,758,736"
.Connecticut,"3,574,097","3,565,287"
.Delaware,"897,934","973,764"
.District of Columbia,"601,723","705,749"
.Florida,"18,801,310","21,477,737"
.Georgia,"9,687,653","10,617,423"
.Hawaii,"1,360,301","1,415,872"
.Idaho,"1,567,582","1,787,065"
.Illinois,"12,830,632","12,671,821"
.Indiana,"6,483,802","6,732,219"
.Iowa,"3,046,355","3,155,070"
.Kansas,"2,853,118","2,913,314"
.Kentucky,"4,339,367","4,467,673"
.Louisiana,"4,533,372","4,648,794"
.Maine,"1,328,361","1,344,212"
.Maryland,"5,773,552","6,045,680"
.Massachusetts,"6,547,629","6,892,503"
.Michigan,"9,883,640","9,986,857"
.Minnesota,"5,303,925","5,639,632"
.Mississippi,"2,967,297","2,976,149"
.Missouri,"5,988,927","6,137,428"
.Montana,"989,415","1,068,778"
.Nebraska,"1,826,341","1,934,408"
.Nevada,"2,700,551","3,080,156"
.New Hampshire,"1,316,470","1,359,711"
.New Jersey,"8,791,894","8,882,190"
.New Mexico,"2,059,179","2,096,829"
.New York,"19,378,102","19,453,561"
.North Carolina,"9,535,483","10,488,084"
.North Dakota,"672,591","762,062"
.Ohio,"11,536,504","11,689,100"
.Oklahoma,"3,751,351","3,956,971"
.Oregon,"3,831,074","4,217,737"
.Pennsylvania,"12,702,379","12,801,989"
.Rhode Island,"1,052,567","1,059,361"
.South Carolina,"4,625,364","5,148,714"
.South Dakota,"814,180","884,659"
.Tennessee,"6,346,105","6,829,174"
.Texas,"25,145,561","28,995,881"
.Utah,"2,763,885","3,205,958"
.Vermont,"625,741","623,989"
.Virginia,"8,001,024","8,535,519"
.Washington,"6,724,540","7,614,893"
.West Virginia,"1,852,994","1,792,147"
.Wisconsin,"5,686,986","5,822,434"
.Wyoming,"563,626","578,759"
,,
Puerto Rico,"3,725,789","3,193,694"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. See Geographic Terms and Definitions at http://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region.  All geographic boundaries for the 2019 population estimates series except statistical area delineations are as of January 1, 2019.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,
Suggested Citation:,,
"Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019 (NST-EST2019-01)",,
"Source: U.S. Census Bureau, Population Division",,
Release Date: December 2019,,
